Frame;Stage;Time;Time_TrackID;TrackID;FilamentID;Name;Location;Position_X;Position_Y;Position_Z;unik;Fibers;Fiber.TubGFP;Fiber.TubGFP_low;Position.TubGFP;Position_Type;Length;Position_Type_Track;
1;30;0;1_100000061;100000061;100000061;structure;Dorsal;62.9198;111.151;1.3065;1_10000006162.9198;1;0;0;GFPneg;Single;Short;single;
1;30;0;1_100000063;100000063;100000063;structure;D-Dorsal;45.966;100.908;-4.43552;1_10000006345.966;1;0;0;GFPneg;Single;Short;single;
1;30;0;1_100000066;100000066;100000066;structure;Dorsal;51.811;107.778;-2.43815;1_10000006651.811;1;0;0;GFPneg;Single;Short;single;
1;30;0;1_100000067;100000067;100000067;structure;Medial;123.718;112.504;1.79513;1_100000067123.718;1;0;0;GFPneg;Single;Short;single;
1;30;0;1_1100000000;1100000000;100000000;structure;D-Dorsal;45.1306;105.364;-6.12698;1_110000000045.1306;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000001;1100000001;100000001;structure;D-Dorsal;45.7732;106.713;-4.88776;1_110000000145.7732;5;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000002;1100000002;100000014;structure;Dorsal;48.4833;107.209;-3.36347;1_110000000248.4833;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000002;1100000002;100000002;structure;Dorsal;48.8503;109.872;-4.57432;1_110000000248.8503;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000003;1100000003;100000003;structure;Dorsal;53.536;114.396;-4.07452;1_110000000353.536;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000005;1100000005;100000005;structure;D-Dorsal;43.225;96.345;-6.32329;1_110000000543.225;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000006;1100000006;100000006;structure;Dorsal;63.5412;113.216;-6.23254;1_110000000663.5412;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000008;1100000008;100000008;structure;Dorsal;68.1504;113.622;1.46256;1_110000000868.1504;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000009;1100000009;100000009;structure;Dorsal;61.0421;111.542;-3.33998;1_110000000961.0421;1;0;0;GFPneg;Single;Short;single;
1;30;0;1_1100000010;1100000010;100000010;structure;Dorsal;74.737;111.032;1.42387;1_110000001074.737;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000011;1100000011;100000011;structure;Dorsal;75.8577;113.26;3.39088;1_110000001175.8577;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000013;1100000013;100000013;structure;Dorsal;53.0704;108.893;-3.25003;1_110000001353.0704;3;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000015;1100000015;100000015;structure;Dorsal;81.3046;115.365;0.347145;1_110000001581.3046;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000017;1100000017;100000017;structure;Dorsal;84.7587;111.42;3.79174;1_110000001784.7587;1;0;0;GFPneg;Single;Short;single;
1;30;0;1_1100000018;1100000018;100000018;structure;Dorsal;79.0261;111.875;0.666447;1_110000001879.0261;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000019;1100000019;100000019;structure;Dorsal;58.9543;110.745;0.376307;1_110000001958.9543;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000020;1100000020;100000020;structure;Medial;86.473;116.751;3.59629;1_110000002086.473;1;0;0;GFPneg;Single;Short;single;
1;30;0;1_1100000021;1100000021;100000021;structure;Medial;91.1979;122.928;2.13744;1_110000002191.1979;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000022;1100000022;100000022;structure;Medial;92.1125;115.554;3.78144;1_110000002292.1125;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000022;1100000022;100000023;structure;Medial;95.3579;114.365;3.0282;1_110000002295.3579;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000024;1100000024;100000024;structure;Medial;96.649;113.884;4.08583;1_110000002496.649;1;0;0;GFPneg;Single;Short;single;
1;30;0;1_1100000026;1100000026;100000026;structure;Medial;98.7535;108.796;5.5794;1_110000002698.7535;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000028;1100000028;100000028;structure;Medial;110.948;112.505;4.05877;1_1100000028110.948;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000030;1100000030;100000030;structure;Medial;104.238;114.649;1.76714;1_1100000030104.238;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000033;1100000033;100000033;structure;Medial;117.022;111.034;0.434508;1_1100000033117.022;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000034;1100000034;100000034;structure;Medial;119.357;111.899;1.40464;1_1100000034119.357;3;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000036;1100000036;100000036;structure;Ventral;127.549;112.811;2.37166;1_1100000036127.549;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000037;1100000037;100000037;structure;Ventral;127.544;110.62;-1.64515;1_1100000037127.544;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000038;1100000038;100000038;structure;Ventral;128.94;109.225;-0.253399;1_1100000038128.94;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000039;1100000039;100000039;structure;Ventral;131.806;110.085;-0.365917;1_1100000039131.806;3;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000040;1100000040;100000040;structure;Ventral;134.463;107.056;0.5215;1_1100000040134.463;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000041;1100000041;100000041;structure;Ventral;137.424;106.751;-0.267012;1_1100000041137.424;3;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000042;1100000042;100000042;structure;Ventral;142.529;103.522;1.1157;1_1100000042142.529;1;0;0;GFPneg;Single;Short;single;
1;30;0;1_1100000043;1100000043;100000043;structure;Ventral;147.191;104.19;2.66371;1_1100000043147.191;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000044;1100000044;100000044;structure;Ventral;148.126;101.932;1.65552;1_1100000044148.126;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000046;1100000046;100000046;structure;Ventral;150.561;101.254;1.71935;1_1100000046150.561;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000047;1100000047;100000047;structure;Ventral;153.078;102.448;-0.664708;1_1100000047153.078;3;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000049;1100000049;100000049;structure;Ventral;157.384;99.7113;1.3302;1_1100000049157.384;3;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000049;1100000049;100000052;structure;Ventral;164.648;99.1958;-2.0634;1_1100000049164.648;3;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000051;1100000051;100000051;structure;Ventral;159.151;96.5629;1.90534;1_1100000051159.151;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000053;1100000053;100000053;structure;Ventral;163.809;95.4443;0.00805016;1_1100000053163.809;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000054;1100000054;100000054;structure;Ventral;164.11;94.3411;-1.25564;1_1100000054164.11;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000056;1100000056;100000056;structure;V-Ventral;169.177;94.9517;-2.34081;1_1100000056169.177;3;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000057;1100000057;100000057;structure;V-Ventral;169.134;91.082;-0.308445;1_1100000057169.134;3;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000058;1100000058;100000058;structure;V-Ventral;172.137;91.2693;-2.58811;1_1100000058172.137;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000059;1100000059;100000059;structure;Dorsal;173.919;89.9255;-3.54468;1_1100000059173.919;2;0;0;GFPneg;multi;Short;multi;
1;30;0;1_1100000064;1100000064;100000064;structure;D-Dorsal;44.955;98.7657;-6.42518;1_110000006444.955;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000065;1100000065;100000065;structure;Dorsal;55.3282;109.303;-4.78258;1_110000006555.3282;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000068;1100000068;100000068;structure;Ventral;143.858;102.641;1.23242;1_1100000068143.858;1;0;0;GFPneg;Single;Short;multi;
1;30;0;1_1100000069;1100000069;100000069;structure;Ventral;162.33;65.4678;-5.05819;1_1100000069162.33;1;0;0;GFPneg;Single;#NA;single;
1;30;0;1_A;A;15;Ref;Ref;45.3463;78.4942;-7.06717;1_A45.3463;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
1;30;0;1_B;B;51;Ref;Ref;48.3766;96.4747;-3.19861;1_B48.3766;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
1;30;0;1_C;C;80;Ref;Ref;66.1256;106.553;2.23511;1_C66.1256;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
1;30;0;1_D;D;111;Ref;Ref;84.9527;109.4;0.358093;1_D84.9527;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
1;30;0;1_E;E;173;Ref;Ref;106.654;106.148;1.3881;1_E106.654;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
1;30;0;1_F;F;172;Ref;Ref;123.931;105.779;3.38796;1_F123.931;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
1;30;0;1_F01;F01;ID#031;structure;Medial;108.584;116.24;2.97264;1_F01108.584;4;0;0;GFPneg;multi;#NA;multi;
1;30;0;1_G;G;180;Ref;Ref;145.13;99.6797;3.97913;1_G145.13;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
1;30;0;1_H;H;212;Ref;Ref;166.342;92.2814;-1.06113;1_H166.342;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
1;30;0;1_I;I;242;Ref;Ref;173.052;77.9599;-5.43823;1_I173.052;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
2;30,33333333;20;2_100000075;100000075;100000075;structure;D-Dorsal;43.8248;105.809;-6.91119;2_10000007543.8248;1;0;0;GFPneg;Single;Short;single;
2;30,33333333;20;2_100000081;100000081;100000081;structure;Dorsal;70.8897;113.762;-0.313957;2_10000008170.8897;1;0;0;GFPneg;Single;Short;single;
2;30,33333333;20;2_100000091;100000091;100000091;structure;Medial;86.9264;117.381;0.476899;2_10000009186.9264;1;0;0;GFPneg;Single;Short;single;
2;30,33333333;20;2_100000099;100000099;100000099;structure;Medial;114.73;111.555;1.44103;2_100000099114.73;1;0;0;GFPneg;Single;Short;single;
2;30,33333333;20;2_100000129;100000129;100000129;structure;Dorsal;67.8145;108.73;2.58698;2_10000012967.8145;3;0;0;GFPneg;multi;#NA;multi;
2;30,33333333;20;2_1100000000;1100000000;100000072;structure;D-Dorsal;41.1053;106.22;-8.91215;2_110000000041.1053;4;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000001;1100000001;100000074;structure;D-Dorsal;44.5499;106.097;-5.14724;2_110000000144.5499;5;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000002;1100000002;100000073;structure;D-Dorsal;44.4889;109.237;-5.35908;2_110000000244.4889;5;0;3;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000003;1100000003;100000078;structure;Dorsal;53.618;113.673;-5.0168;2_110000000353.618;3;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000005;1100000005;100000076;structure;D-Dorsal;40.8445;97.9615;-6.93929;2_110000000540.8445;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000006;1100000006;100000082;structure;Dorsal;62.9867;111.384;-0.565314;2_110000000662.9867;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000008;1100000008;100000080;structure;Dorsal;65.1564;113.766;0.273211;2_110000000865.1564;3;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000009;1100000009;100000083;structure;Dorsal;59.9202;111.439;0.187366;2_110000000959.9202;1;0;0;GFPneg;Single;Short;single;
2;30,33333333;20;2_1100000010;1100000010;100000128;structure;Dorsal;70.0544;112.035;0.541846;2_110000001070.0544;2;0;0;GFPneg;multi;#NA;multi;
2;30,33333333;20;2_1100000011;1100000011;100000084;structure;Dorsal;73.271;114.448;2.40151;2_110000001173.271;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000013;1100000013;100000124;structure;Dorsal;52.1441;107.609;0.0298405;2_110000001352.1441;2;0;0;GFPneg;multi;#NA;multi;
2;30,33333333;20;2_1100000015;1100000015;100000085;structure;Dorsal;78.0844;112.315;3.40633;2_110000001578.0844;3;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000017;1100000017;100000087;structure;Dorsal;81.0596;109.686;3.37094;2_110000001781.0596;1;0;0;GFPneg;Single;Short;single;
2;30,33333333;20;2_1100000018;1100000018;100000127;structure;Dorsal;76.6258;110.755;1.49405;2_110000001876.6258;1;0;0;GFPneg;Single;#NA;multi;
2;30,33333333;20;2_1100000019;1100000019;100000086;structure;Dorsal;58.0433;110.881;-1.79325;2_110000001958.0433;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000020;1100000020;100000088;structure;Medial;84.4026;115.946;2.97901;2_110000002084.4026;1;0;0;GFPneg;Single;Short;single;
2;30,33333333;20;2_1100000021;1100000021;100000090;structure;Medial;87.6638;115.761;1.27647;2_110000002187.6638;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000022;1100000022;100000089;structure;Medial;89.7597;117.754;1.80998;2_110000002289.7597;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000022;1100000022;100000092;structure;Medial;92.43;118.935;1.45587;2_110000002292.43;2;0;0;GFPneg;multi;Short;multi;trash
2;30,33333333;20;2_1100000024;1100000024;100000093;structure;Medial;94.168;114.151;3.31293;2_110000002494.168;1;0;0;GFPneg;Single;Short;single;
2;30,33333333;20;2_1100000026;1100000026;100000094;structure;Medial;95.9638;108.432;5.29559;2_110000002695.9638;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000028;1100000028;100000095;structure;Medial;107.833;110.898;4.24677;2_1100000028107.833;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000030;1100000030;100000126;structure;Medial;100.106;108.757;2.78938;2_1100000030100.106;2;0;0;GFPneg;multi;#NA;multi;
2;30,33333333;20;2_1100000033;1100000033;100000098;structure;Medial;116.406;112.641;2.13086;2_1100000033116.406;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000034;1100000034;100000097;structure;Medial;119.746;115.468;2.17038;2_1100000034119.746;1;0;0;GFPneg;Single;LP-Contact;multi;
2;30,33333333;20;2_1100000036;1100000036;100000100;structure;Ventral;120.971;106.44;3.16466;2_1100000036120.971;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000037;1100000037;100000106;structure;Ventral;125.876;112.913;-1.02765;2_1100000037125.876;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000038;1100000038;100000105;structure;Ventral;125.578;109.47;0.0607141;2_1100000038125.578;4;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000039;1100000039;100000101;structure;Ventral;130.4;112.181;-0.157302;2_1100000039130.4;2;0;0;GFPpos;multi;Short;multi;
2;30,33333333;20;2_1100000040;1100000040;100000102;structure;Ventral;129.041;104.002;4.27233;2_1100000040129.041;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000041;1100000041;100000103;structure;Ventral;134.077;106.244;1.02879;2_1100000041134.077;4;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000042;1100000042;100000104;structure;Ventral;140.125;105.132;1.25446;2_1100000042140.125;1;0;0;GFPneg;Single;Short;single;
2;30,33333333;20;2_1100000043;1100000043;100000108;structure;Ventral;148.064;107.807;1.53746;2_1100000043148.064;4;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000044;1100000044;100000109;structure;Ventral;145.759;103.357;0.0276732;2_1100000044145.759;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000046;1100000046;100000110;structure;Ventral;149.893;103.726;0.335258;2_1100000046149.893;3;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000047;1100000047;100000115;structure;Ventral;151.71;101.239;-0.175649;2_1100000047151.71;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000049;1100000049;100000112;structure;Ventral;158.8;102.294;-1.35032;2_1100000049158.8;3;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000049;1100000049;100000114;structure;Ventral;162.855;101.536;-2.0042;2_1100000049162.855;4;0;3;GFPneg;multi;LP-Contact;multi;
2;30,33333333;20;2_1100000051;1100000051;100000113;structure;Ventral;158.078;99.275;0.0886429;2_1100000051158.078;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000053;1100000053;100000116;structure;Ventral;162.543;96.8606;-0.784684;2_1100000053162.543;3;0;0;GFPneg;multi;LP-Contact;multi;
2;30,33333333;20;2_1100000054;1100000054;100000117;structure;V-Ventral;164.205;96.142;-1.66124;2_1100000054164.205;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000056;1100000056;100000118;structure;V-Ventral;166.993;96.5173;-5.19049;2_1100000056166.993;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000057;1100000057;100000120;structure;V-Ventral;167.565;93.1312;-2.9923;2_1100000057167.565;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000058;1100000058;100000121;structure;V-Ventral;169.226;92.119;-1.4659;2_1100000058169.226;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000059;1100000059;100000122;structure;V-Ventral;173.819;92.664;-5.47473;2_1100000059173.819;4;0;0;GFPneg;multi;LP-Contact;multi;
2;30,33333333;20;2_1100000064;1100000064;100000077;structure;D-Dorsal;42.9306;98.3351;-6.6315;2_110000006442.9306;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000065;1100000065;100000079;structure;Dorsal;53.3797;110.747;-2.53346;2_110000006553.3797;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000068;1100000068;100000107;structure;Ventral;141.795;104.824;0.639571;2_1100000068141.795;1;0;0;GFPneg;Single;Short;multi;
2;30,33333333;20;2_1100000119;1100000119;100000119;structure;V-Ventral;165.261;93.2257;-1.01844;2_1100000119165.261;2;0;0;GFPneg;multi;Short;multi;
2;30,33333333;20;2_1100000125;1100000125;100000125;structure;Medial;97.9714;110.867;1.48949;2_110000012597.9714;1;0;0;GFPneg;Single;#NA;single;
2;30,3;20;2_A;A;14;Ref;Ref;42.9654;79.56;-7.00992;2_A42.9654;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
2;30,3;20;2_B;B;50;Ref;Ref;45.7792;96.2197;-2.08258;2_B45.7792;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
2;30,3;20;2_C;C;79;Ref;Ref;64.394;106.368;1.49921;2_C64.394;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
2;30,3;20;2_D;D;110;Ref;Ref;82.8541;107.019;2.79565;2_D82.8541;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
2;30,3;20;2_E;E;141;Ref;Ref;103.955;106.978;5.38781;2_E103.955;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
2;30,3;20;2_F;F;171;Ref;Ref;120.849;102.34;4.38789;2_F120.849;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
2;30,33333333;20;2_F01;F01;ID#034;structure;Medial;106.034;111.133;4.067;2_F01106.034;6;0;3;GFPneg;multi;#NA;multi;
2;30,3;20;2_G;G;179;Ref;Ref;143.831;98.3195;3.58453;2_G143.831;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
2;30,3;20;2_H;H;211;Ref;Ref;162.879;91.2022;-0.436676;2_H162.879;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
2;30,3;20;2_I;I;241;Ref;Ref;169.805;76.8352;-5.98854;2_I169.805;#NA;#NA;#NA;Ref;Ref;#NA;Ref;
3;30,66666667;40;3_100000157;100000157;100000157;structure;Medial;111.413;111.527;1.48529;3_100000157111.413;2;0;0;GFPneg;multi;Short;multi;
